id,artist,title,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature
5O2P9iiztwhomNh8xkR9lJ,One Direction,Night Changes,FOUR (Deluxe),0.672,0.52,8,-7.747,1,0.0353,0.859,0,0.115,0.37,120.001,audio_features,226600,4
1yvMUkIOTeUNtNWlWRgANS,Sia,Unstoppable,This Is Acting (Deluxe Version),0.468,0.779,9,-4.839,1,0.0779,0.112,0.000373,0.101,0.26,173.799,audio_features,217747,4
3U4isOIWM3VvDubwSI3y7a,John Legend,All of Me,Love In The Future (Expanded Edition),0.422,0.264,8,-7.064,1,0.0322,0.922,0,0.132,0.331,119.93,audio_features,269560,4
0gplL1WMoJ6iYaPgMCL0gX,Adele,Easy On Me,Easy On Me,0.604,0.366,5,-7.519,1,0.0282,0.578,0,0.133,0.13,141.981,audio_features,224695,4
7795WJLVKJoAyVoOtCWqXN,Sam Smith,I'm Not The Only One,In The Lonely Hour,0.677,0.485,5,-5.795,1,0.0361,0.529,2.04e-05,0.0766,0.493,82.001,audio_features,239317,4
0oWraSo5ASJ0h1BEagTyEw,Lady Gaga,Hold My Hand,"Hold My Hand (Music From The Motion Picture ""Top Gun: Maverick"")",0.519,0.617,7,-4.287,1,0.0313,0.0387,0,0.401,0.222,147.708,audio_features,225300,3
1Y3LN4zO1Edc2EluIoSPJN,Stephen Sanchez,Until I Found You (with Em Beihold) - Em Beihold Version,Until I Found You (Em Beihold Version),0.551,0.55,10,-5.339,1,0.0286,0.777,0,0.202,0.342,101.19,audio_features,176440,3
1Xi84slp6FryDSCbzq4UCD,Duncan Laurence,Arcade,Arcade,0.45,0.329,9,-12.603,0,0.0441,0.818,0.00109,0.135,0.266,71.884,audio_features,183624,3
0nJW01T7XtvILxQgC5J7Wh,Bruno Mars,When I Was Your Man,Unorthodox Jukebox,0.612,0.28,0,-8.648,1,0.0434,0.932,0,0.088,0.387,72.795,audio_features,213827,4
1QUpqu8865jfasDr8M3IKN,Christina Perri,A Thousand Years,The Twilight Saga: Breaking Dawn - Part 1 (Original Motion Picture Soundtrack),0.421,0.407,10,-7.445,1,0.0267,0.309,0.000961,0.11,0.161,139.028,audio_features,285120,3
1ip2IGDWMrUmlaepEbWlL8,Ellie Goulding,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Fifty Shades Of Grey (Original Motion Picture Soundtrack),0.258,0.659,5,-5.903,0,0.0596,0.253,0,0.111,0.272,189.558,audio_features,250267,4
3JvKfv6T31zO0ini8iNItO,Tom Odell,Another Love,Long Way Down (Deluxe),0.445,0.537,4,-8.532,0,0.04,0.695,1.65e-05,0.0944,0.131,122.769,audio_features,244360,4
0lx2cLdOt3piJbcaXIV74f,Taylor Swift,willow,evermore,0.392,0.574,7,-9.195,1,0.17,0.833,0.00179,0.145,0.529,81.112,audio_features,214707,4
0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,Perfect,÷ (Deluxe),0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,audio_features,263400,3
0u2P5u6lvoDfwTYjAADbn4,Billie Eilish,lovely (with Khalid),lovely (with Khalid),0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,audio_features,200186,4
0EcQcdcbQeVJn9fknj44Be,Lauv,I Like Me Better,I met you when I was 18. (the playlist),0.753,0.505,9,-7.621,1,0.255,0.534,2.58e-06,0.104,0.419,91.972,audio_features,197437,4
37FXw5QGFN7uwwsLy8uAc0,Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),Nine Track Mind,0.728,0.563,1,-8.053,0,0.134,0.621,0,0.179,0.352,100.017,audio_features,217707,4
5DqdesEfbRyOlSS3Tf6c29,Ali Gatie,It's You,YOU,0.732,0.463,11,-6.972,0,0.0287,0.374,0,0.194,0.397,95.971,audio_features,212607,4
78nplE9X2ZGvQh3TKgvldE,James Arthur,Rewrite The Stars (with James Arthur & Anne-Marie),The Greatest Showman: Reimagined,0.67,0.743,10,-4.993,1,0.0393,0.237,0,0.465,0.571,125.944,audio_features,218293,4
4xqrdfXkTW4T0RauPLv3WA,Conan Gray,Heather,Kid Krow,0.357,0.425,5,-7.301,1,0.0333,0.584,0,0.322,0.27,102.078,audio_features,198040,3
6YvqWjhGD8mB5QXcbcUKtx,Taylor Swift,Love Story (Taylor’s Version),Fearless (Taylor's Version),0.627,0.792,2,-4.311,1,0.031,0.13,3.97e-06,0.0845,0.415,119.054,audio_features,235767,4
4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Harry's House,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,audio_features,167303,4
2kJwzbxV2ppxnQoYw4GLBZ,JP Saxe,If the World Was Ending (feat. Julia Michaels),If the World Was Ending (feat. Julia Michaels),0.464,0.473,1,-10.086,1,0.129,0.866,0,0.109,0.604,75.801,audio_features,208687,4
7LVHVU3tWfcxj5aiPFEW4Q,Coldplay,Fix You,X&Y,0.209,0.417,3,-8.74,1,0.0338,0.164,0.00196,0.113,0.124,138.178,audio_features,295533,4
6I3mqTwhRpn34SLVafSH7G,Justin Bieber,Ghost,Justice,0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-05,0.415,0.441,153.96,audio_features,153190,4
1HNkqx9Ahdgi1Ixy2xkKkL,Ed Sheeran,Photograph,x (Deluxe Edition),0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,audio_features,258987,4
1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,Lover,0.359,0.543,7,-7.582,1,0.0919,0.492,1.58e-05,0.118,0.453,68.534,audio_features,221307,4
11WbNwwAdoxfwpZxSHIP7J,Alexander 23,IDK You Yet,"Oh No, Not Again! - EP",0.646,0.31,1,-11.728,1,0.0399,0.885,0.0769,0.121,0.202,76.987,audio_features,184638,1
3USxtqRwSYz57Ewm6wWRMp,Glass Animals,Heat Waves,Dreamland,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,audio_features,238805,4
0wI7QkCcs8FUQE1OkXUIqd,Alessia Cara,Scars To Your Beautiful,Know-It-All,0.573,0.739,0,-5.74,1,0.129,0.0285,0,0.111,0.451,97.085,audio_features,230240,4
3FAJ6O0NOHQV8Mc5Ri6ENp,Giveon,Heartbreak Anniversary,TAKE TIME,0.449,0.465,0,-8.964,1,0.0791,0.524,1.02e-06,0.303,0.543,89.087,audio_features,198371,3
3LlAyCYU26dvFZBDUIMb7a,Imagine Dragons,Demons,Night Visions,0.505,0.71,3,-3.015,1,0.0321,0.19,0.00025,0.329,0.428,89.938,audio_features,175200,4
6OEHjJJvdkk1Ln0p0AZdyz,Maroon 5,Girls Like You,Red Pill Blues (Deluxe),0.611,0.462,0,-7.054,1,0.0646,0.558,1.01e-06,0.131,0.377,59.635,audio_features,215230,4
3AJwUDP919kvQ9QcozQPxg,Coldplay,Yellow,Parachutes,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,audio_features,266773,4
7eQHxigpuDJjCG50JyzU8v,MAX,Butterflies,Butterflies,0.7,0.613,11,-4.041,1,0.0408,0.385,0,0.0887,0.42,88.084,audio_features,191250,4
4wCmqSrbyCgxEXROQE6vtV,Gotye,Somebody That I Used To Know,Making Mirrors,0.864,0.495,0,-7.036,1,0.037,0.591,0.000133,0.0992,0.72,129.062,audio_features,244973,4
4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,audio_features,148486,4
1KxwZYyzWNyZSRyErj2ojT,Passenger,Let Her Go,All The Little Lights,0.479,0.545,7,-7.346,1,0.0688,0.365,0,0.0963,0.243,74.897,audio_features,252733,4
727Z2S2mtNH46CbP9EWPwY,Forest Blakk,If You Love Her,If You Love Her,0.286,0.445,6,-8.087,1,0.0347,0.355,0,0.114,0.278,50.827,audio_features,217352,4
4nVBt6MZDDP6tRVdQTgxJg,One Direction,Story of My Life,Midnight Memories (Deluxe),0.6,0.663,3,-5.802,1,0.0477,0.225,0,0.119,0.286,121.07,audio_features,245493,4
75JFxkI2RXiU7L9VXzMkle,Coldplay,The Scientist,A Rush of Blood to the Head,0.557,0.442,5,-7.224,1,0.0243,0.731,1.46e-05,0.11,0.213,146.277,audio_features,309600,4
5uCax9HTNlzGybIStD3vDh,James Arthur,Say You Won't Let Go,Back from the Edge,0.358,0.557,10,-7.398,1,0.059,0.695,0,0.0902,0.494,85.043,audio_features,211467,4
4cktbXiXOapiLBMprHFErI,Maroon 5,Memories,JORDI (Deluxe),0.775,0.327,11,-7.241,1,0.0557,0.841,0,0.0821,0.595,91.05,audio_features,189486,4
6FZDfxM3a3UCqtzo5pxSLZ,Halsey,Without Me,Manic,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,audio_features,201661,4
73CMRj62VK8nUS4ezD2wvi,Adele,Set Fire to the Rain,21,0.603,0.67,2,-3.882,0,0.0249,0.00408,1.68e-06,0.112,0.446,107.993,audio_features,242974,4
6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,Something Just Like This,Memories...Do Not Open,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,audio_features,247160,4
6sy3LkhNFjJWlaeSMNwQ62,OneRepublic,Counting Stars,Native,0.664,0.705,1,-4.972,0,0.0382,0.0654,0,0.115,0.477,122.017,audio_features,257840,4
7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,Shape of You,÷ (Deluxe),0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,audio_features,233713,4
5hnyJvgoWiQUYZttV4wXy6,Snow Patrol,Chasing Cars,Eyes Open,0.56,0.595,9,-4.53,1,0.0274,0.199,6.47e-05,0.132,0.144,104.011,audio_features,267960,4
4ml4WlnHDEpOK8HRVYTCWf,Olivia Rodrigo,drivers license,SOUR,0.584,0.433,10,-8.822,1,0.0533,0.743,1.35e-05,0.106,0.14,143.994,audio_features,242013,4
3EPXxR3ImUwfayaurPi3cm,Dean Lewis,Be Alright,Be Alright,0.553,0.586,11,-6.319,1,0.0362,0.697,0,0.0813,0.443,126.684,audio_features,196373,4
6nek1Nin9q48AVZcWs9e9D,Coldplay,Paradise,Mylo Xyloto,0.449,0.585,5,-6.761,1,0.0268,0.0509,8.75e-05,0.0833,0.212,139.631,audio_features,278719,4
1zB4vmk8tFRmM9UULNzbLB,Imagine Dragons,Thunder,Evolve,0.605,0.822,0,-4.833,1,0.0438,0.00671,0.134,0.147,0.288,167.997,audio_features,187147,4
7Lv78wiIJcKgND9Zi7AIOt,Forest Blakk,Fall Into Me,Fall Into Me,0.45,0.483,2,-6.754,1,0.0572,0.179,0,0.127,0.206,118.305,audio_features,226067,4
0TK2YIli7K1leLovkQiNik,Shawn Mendes,Señorita,Señorita,0.759,0.54,9,-6.039,0,0.0287,0.037,0,0.0945,0.75,116.947,audio_features,190960,4
4l0Mvzj72xxOpRrp6h8nHi,Selena Gomez,Lose You To Love Me,Rare,0.488,0.343,4,-8.985,1,0.0436,0.556,0,0.21,0.0978,102.819,audio_features,206459,4
